Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,Segment
12473,29,5,3938.55,4,4,5,445,13,Champions
12474,17,31,12424.45,5,5,5,555,15,Champions
12475,54,2,1149.64,4,2,3,423,9,New Customers
12476,16,23,14115.41,5,5,5,555,15,Champions
12477,23,9,20276.37,4,5,5,455,14,Champions
12478,4,1,680.99,5,1,3,513,9,New Customers
12479,11,1,527.2,5,1,2,512,8,New Customers
12480,28,7,5464.85,4,4,5,445,13,Champions
12481,23,15,12361.39,4,5,5,455,14,Champions
12482,576,29,23691.4,1,5,5,155,11,At Risk
12483,17,19,5120.58,5,5,5,555,15,Champions
12484,33,12,6370.15,4,5,5,455,14,Champions
12485,529,1,708.1,1,1,3,113,5,Hibernating
12486,432,1,1037.28,1,1,3,113,5,Hibernating
12487,731,1,285.3,1,1,1,111,3,Lost
12488,10,3,1298.66,5,3,4,534,12,Loyal Customers
12489,336,1,334.93,2,1,2,212,5,Lost
12490,5,21,9823.64,5,5,5,555,15,Champions
12491,39,1,460.4,4,1,2,412,7,New Customers
12492,63,3,715.21,3,3,3,333,9,Loyal Customers
12493,166,2,433.74,3,2,2,322,7,Potential Loyalists
12494,16,9,1872.87,5,5,4,554,14,Champions
12495,641,1,357.4,1,1,2,112,4,Lost
12496,620,2,54.09,1,2,1,121,4,Lost
12497,82,3,6248.5,3,3,5,335,11,Loyal Customers
12498,21,3,403.7,4,3,2,432,9,Potential Loyalists
12499,560,1,393.72,1,1,2,112,4,Lost
12500,23,19,5955.21,4,5,5,455,14,Champions
12501,337,1,2169.39,2,1,4,214,7,Hibernating
12502,96,5,3723.87,3,4,5,345,12,Loyal Customers
12503,584,1,1126.0,1,1,3,113,5,Hibernating
12504,18,4,779.05,5,3,3,533,11,Loyal Customers
12505,409,1,955.2,2,1,3,213,6,Hibernating
12506,233,1,73.5,2,1,1,211,4,Lost
12507,134,4,1844.06,3,3,4,334,10,Loyal Customers
12508,26,2,398.27,4,2,2,422,8,New Customers
12509,284,1,176.5,2,1,1,211,4,Lost
12510,143,9,5178.02,3,5,5,355,13,Loyal Customers
12511,429,1,3084.02,1,1,5,115,7,Hibernating
12512,66,2,138.03,3,2,1,321,6,Promising
12513,113,1,612.29,3,1,2,312,6,Promising
12514,267,2,1597.76,2,2,4,224,8,Hibernating
12515,353,1,383.7,2,1,2,212,5,Lost
12516,78,4,2648.62,3,3,4,334,10,Loyal Customers
12517,28,5,2502.84,4,4,4,444,12,Champions
12518,1,5,2056.89,5,4,4,544,13,Champions
12519,64,2,726.54,3,2,3,323,8,Potential Loyalists
12520,79,5,2634.26,3,4,4,344,11,Loyal Customers
12521,143,1,599.68,3,1,2,312,6,Promising
12522,39,2,192.72,4,2,1,421,7,New Customers
12523,19,23,4372.15,5,5,5,555,15,Champions
12524,9,17,11126.11,5,5,5,555,15,Champions
12525,498,3,973.73,1,3,3,133,7,At Risk
12526,1,3,1316.66,5,3,4,534,12,Loyal Customers
12527,82,5,735.51,3,4,3,343,10,Loyal Customers
12528,9,6,1933.48,5,4,4,544,13,Champions
12529,528,1,316.48,1,1,2,112,4,Lost
12530,60,9,3759.26,3,5,5,355,13,Loyal Customers
12531,15,2,1933.2,5,2,4,524,11,New Customers
12532,30,1,349.83,4,1,2,412,7,New Customers
12533,628,2,1367.89,1,2,4,124,7,Hibernating
12534,131,1,1089.18,3,1,3,313,7,Promising
12535,92,2,716.35,3,2,3,323,8,Potential Loyalists
12536,43,3,12601.83,4,3,5,435,12,Loyal Customers
12537,409,1,732.94,2,1,3,213,6,Hibernating
12538,29,2,640.45,4,2,3,423,9,New Customers
12539,22,7,11214.75,4,4,5,445,13,Champions
12540,20,33,22254.49,4,5,5,455,14,Champions
12541,30,3,981.18,4,3,3,433,10,Loyal Customers
12542,484,2,481.88,1,2,2,122,5,Lost
12543,448,1,980.25,1,1,3,113,5,Hibernating
12544,36,1,372.7,4,1,2,412,7,New Customers
12545,75,2,1000.39,3,2,3,323,8,Potential Loyalists
12546,47,2,1161.5,4,2,3,423,9,New Customers
12547,198,3,383.58,2,3,2,232,7,Hibernating
12548,166,1,95.2,3,1,1,311,5,Promising
12549,576,6,1575.68,1,4,4,144,9,At Risk
12550,79,1,964.83,3,1,3,313,7,Promising
12551,358,1,168.0,2,1,1,211,4,Lost
12552,39,2,437.82,4,2,2,422,8,New Customers
12553,8,12,4608.75,5,5,5,555,15,Champions
12554,449,1,468.5,1,1,2,112,4,Lost
12555,682,1,129.23,1,1,1,111,3,Lost
12556,50,2,603.71,4,2,2,422,8,New Customers
12557,16,8,18716.14,5,4,5,545,14,Champions
12558,8,1,269.96,5,1,1,511,7,New Customers
12559,311,2,561.71,2,2,2,222,6,Lost
12560,5,3,2134.01,5,3,4,534,12,Loyal Customers
12561,303,1,238.85,2,1,1,211,4,Lost
12562,8,9,4966.92,5,5,5,555,15,Champions
12563,409,1,249.24,2,1,1,211,4,Lost
12564,261,1,456.9,2,1,2,212,5,Lost
12565,289,1,145.92,2,1,1,211,4,Lost
12566,86,1,351.65,3,1,2,312,6,Promising
12567,23,15,13709.86,4,5,5,455,14,Champions
12568,645,1,70.0,1,1,1,111,3,Lost
12569,2,32,4124.69,5,5,5,555,15,Champions
12570,682,1,77.52,1,1,1,111,3,Lost
12571,40,2,519.61,4,2,2,422,8,New Customers
12572,9,2,1020.42,5,2,3,523,10,New Customers
12573,227,5,717.41,2,4,3,243,9,At Risk
12574,316,1,218.45,2,1,1,211,4,Lost
12575,457,2,622.82,1,2,3,123,6,Hibernating
12576,36,8,2142.72,4,4,4,444,12,Champions
12577,35,8,1653.75,4,4,4,444,12,Champions
12578,21,4,4642.45,4,3,5,435,12,Loyal Customers
12579,78,1,440.42,3,1,2,312,6,Promising
12580,247,2,1052.9,2,2,3,223,7,Hibernating
12581,40,1,197.71,4,1,1,411,6,New Customers
12582,239,4,1980.4,2,3,4,234,9,At Risk
12583,3,27,14447.44,5,5,5,555,15,Champions
12584,4,9,2338.15,5,5,4,554,14,Champions
12585,234,2,2040.1,2,2,4,224,8,Hibernating
12586,17,4,2062.67,5,3,4,534,12,Loyal Customers
12587,8,1,144.0,5,1,1,511,7,New Customers
12588,39,4,958.78,4,3,3,433,10,Loyal Customers
12589,29,8,4695.66,4,4,5,445,13,Champions
12590,211,2,9864.26,2,2,5,225,9,Hibernating
12591,317,3,1352.15,2,3,4,234,9,At Risk
12592,92,5,2582.66,3,4,4,344,11,Loyal Customers
12593,109,3,418.1,3,3,2,332,8,Potential Loyalists
12594,38,15,5090.11,4,5,5,455,14,Champions
12595,505,1,299.02,1,1,2,112,4,Lost
12596,51,2,618.27,4,2,3,423,9,New Customers
12597,19,4,3811.22,5,3,5,535,13,Loyal Customers
12598,10,11,4534.09,5,5,5,555,15,Champions
12599,29,13,2296.72,4,5,4,454,13,Champions
12600,29,21,5043.92,4,5,5,455,14,Champions
12601,190,6,681.26,2,4,3,243,9,At Risk
12602,59,1,153.12,4,1,1,411,6,New Customers
12603,22,1,739.2,4,1,3,413,8,New Customers
12604,79,2,254.18,3,2,1,321,6,Promising
12605,376,4,1232.95,2,3,3,233,8,At Risk
12606,682,1,21.0,1,1,1,111,3,Lost
12607,60,1,1579.51,3,1,4,314,8,Promising
12608,405,1,415.79,2,1,2,212,5,Lost
12609,78,9,3435.86,3,5,5,355,13,Loyal Customers
12610,23,5,2099.54,4,4,4,444,12,Champions
12611,52,1,1193.32,4,1,3,413,8,New Customers
12612,74,1,704.04,3,1,3,313,7,Promising
12613,57,10,6835.07,4,5,5,455,14,Champions
12614,278,1,315.6,2,1,2,212,5,Lost
12615,2,8,5740.98,5,4,5,545,14,Champions
12616,95,3,1131.1,3,3,3,333,9,Loyal Customers
12617,29,1,355.53,4,1,2,412,7,New Customers
12618,22,1,177.31,4,1,1,411,6,New Customers
12619,16,10,3781.38,5,5,5,555,15,Champions
12620,15,3,1339.41,5,3,4,534,12,Loyal Customers
12621,2,35,24775.81,5,5,5,555,15,Champions
12622,232,1,180.1,2,1,1,211,4,Lost
12623,276,7,3747.84,2,4,5,245,11,At Risk
12624,106,2,641.13,3,2,3,323,8,Potential Loyalists
12625,212,4,5164.88,2,3,5,235,10,At Risk
12626,23,9,6620.48,4,5,5,455,14,Champions
12627,11,7,4478.53,5,4,5,545,14,Champions
12628,4,3,786.46,5,3,3,533,11,Loyal Customers
12629,386,2,1558.22,2,2,4,224,8,Hibernating
12630,10,2,1270.88,5,2,4,524,11,New Customers
12631,57,6,3481.57,4,4,5,445,13,Champions
12632,521,2,804.88,1,2,3,123,6,Hibernating
12633,59,7,5678.16,4,4,5,445,13,Champions
12634,536,2,490.0,1,2,2,122,5,Lost
12635,90,4,2930.41,3,3,4,334,10,Loyal Customers
12636,739,1,141.0,1,1,1,111,3,Lost
12637,67,12,8340.31,3,5,5,355,13,Loyal Customers
12638,33,2,921.49,4,2,3,423,9,New Customers
12639,239,3,1312.37,2,3,4,234,9,At Risk
12640,24,3,1174.58,4,3,3,433,10,Loyal Customers
12641,115,1,185.9,3,1,1,311,5,Promising
12642,25,3,1013.26,4,3,3,433,10,Loyal Customers
12643,128,12,8350.42,3,5,5,355,13,Loyal Customers
12644,130,4,1918.49,3,3,4,334,10,Loyal Customers
12645,34,8,3539.3,4,4,5,445,13,Champions
12646,5,2,1346.97,5,2,4,524,11,New Customers
12647,22,36,17924.35,4,5,5,455,14,Champions
12648,155,4,1112.0,3,3,3,333,9,Loyal Customers
12649,107,8,2294.65,3,4,4,344,11,Loyal Customers
12650,3,1,314.44,5,1,2,512,8,New Customers
12651,335,4,377.75,2,3,2,232,7,Hibernating
12652,331,2,1017.03,2,2,3,223,7,Hibernating
12653,149,3,4160.83,3,3,5,335,11,Loyal Customers
12654,11,5,601.98,5,4,2,542,11,Potential Loyalists
12655,424,1,261.35,1,1,1,111,3,Lost
12656,17,8,6407.83,5,4,5,545,14,Champions
12657,11,4,1643.18,5,3,4,534,12,Loyal Customers
12658,19,1,686.05,5,1,3,513,9,New Customers
12659,30,1,91.68,4,1,1,411,6,New Customers
12660,11,1,245.1,5,1,1,511,7,New Customers
12661,436,1,162.0,1,1,1,111,3,Lost
12662,1,20,6988.02,5,5,5,555,15,Champions
12663,625,2,239.4,1,2,1,121,4,Lost
12664,8,11,6070.04,5,5,5,555,15,Champions
12665,325,3,313.6,2,3,2,232,7,Hibernating
12666,394,1,1248.42,2,1,3,213,6,Hibernating
12667,58,1,620.13,4,1,3,413,8,New Customers
12668,12,10,11444.68,5,5,5,555,15,Champions
12669,151,3,2744.03,3,3,4,334,10,Loyal Customers
12670,10,7,3760.29,5,4,5,545,14,Champions
12671,606,1,2622.48,1,1,4,114,6,Hibernating
12672,330,2,437.05,2,2,2,222,6,Lost
12673,5,3,1230.02,5,3,3,533,11,Loyal Customers
12674,39,4,1970.6,4,3,4,434,11,Loyal Customers
12675,554,2,958.5,1,2,3,123,6,Hibernating
12676,25,11,2843.09,4,5,4,454,13,Champions
12677,555,2,395.1,1,2,2,122,5,Lost
12678,42,21,34281.18,4,5,5,455,14,Champions
12679,59,4,1113.02,4,3,3,433,10,Loyal Customers
12680,1,4,880.81,5,3,3,533,11,Loyal Customers
12681,15,45,30868.28,5,5,5,555,15,Champions
12682,4,52,24033.91,5,5,5,555,15,Champions
12683,4,21,12696.78,5,5,5,555,15,Champions
12684,8,7,2283.63,5,4,4,544,13,Champions
12685,28,6,2863.08,4,4,4,444,12,Champions
12686,372,1,178.28,2,1,1,211,4,Lost
12687,481,2,2138.91,1,2,4,124,7,Hibernating
12688,114,1,4873.81,3,1,5,315,9,Promising
12689,26,2,1247.61,4,2,3,423,9,New Customers
12690,206,1,389.01,2,1,2,212,5,Lost
12691,28,7,1170.4,4,4,3,443,11,Loyal Customers
12692,637,1,110.95,1,1,1,111,3,Lost
12693,127,7,1703.02,3,4,4,344,11,Loyal Customers
12694,70,3,1843.35,3,3,4,334,10,Loyal Customers
12695,7,7,1407.12,5,4,4,544,13,Champions
12696,435,2,851.91,1,2,3,123,6,Hibernating
12697,29,3,957.59,4,3,3,433,10,Loyal Customers
12698,590,1,339.75,1,1,2,112,4,Lost
12699,418,1,638.11,1,1,3,113,5,Hibernating
12700,8,4,4939.99,5,3,5,535,13,Loyal Customers
12701,80,6,2446.41,3,4,4,344,11,Loyal Customers
12702,20,1,219.0,4,1,1,411,6,New Customers
12703,71,4,1006.53,3,3,3,333,9,Loyal Customers
12704,7,8,2340.84,5,4,4,544,13,Champions
12705,15,14,11762.1,5,5,5,555,15,Champions
12707,292,1,603.42,2,1,2,212,5,Lost
12708,30,18,5314.1,4,5,5,455,14,Champions
12709,15,34,31093.34,5,5,5,555,15,Champions
12710,97,3,1149.02,3,3,3,333,9,Loyal Customers
12711,612,2,1339.05,1,2,4,124,7,Hibernating
12712,29,21,7193.66,4,5,5,455,14,Champions
12713,1,1,848.55,5,1,3,513,9,New Customers
12714,9,12,14093.71,5,5,5,555,15,Champions
12715,106,1,353.86,3,1,2,312,6,Promising
12716,4,2,1053.49,5,2,3,523,10,New Customers
12717,151,3,1308.91,3,3,4,334,10,Loyal Customers
12718,71,1,238.25,3,1,1,311,5,Promising
12719,5,2,644.95,5,2,3,523,10,New Customers
12720,3,30,8260.67,5,5,5,555,15,Champions
12721,32,8,4013.08,4,4,5,445,13,Champions
12722,85,4,997.63,3,3,3,333,9,Loyal Customers
12723,4,5,725.07,5,4,3,543,12,Loyal Customers
12724,5,7,2317.52,5,4,4,544,13,Champions
12725,371,4,2694.56,2,3,4,234,9,At Risk
12726,28,11,4014.6,4,5,5,455,14,Champions
12727,11,10,5679.53,5,5,5,555,15,Champions
12728,71,5,1070.17,3,4,3,343,10,Loyal Customers
12729,114,1,453.01,3,1,2,312,6,Promising
12730,522,1,829.25,1,1,3,113,5,Hibernating
12731,24,17,25775.71,4,5,5,455,14,Champions
12732,180,1,236.26,3,1,1,311,5,Promising
12733,234,4,2424.87,2,3,4,234,9,At Risk
12734,353,3,639.65,2,3,3,233,8,At Risk
12735,315,2,779.57,2,2,3,223,7,Hibernating
12736,333,1,234.0,2,1,1,211,4,Lost
12737,499,2,3710.5,1,2,5,125,8,Hibernating
12738,372,1,310.7,2,1,2,212,5,Lost
12739,78,4,2726.73,3,3,4,334,10,Loyal Customers
12740,64,1,427.6,3,1,2,312,6,Promising
12741,529,2,406.07,1,2,2,122,5,Lost
12742,626,1,1201.52,1,1,3,113,5,Hibernating
12743,134,2,546.43,3,2,2,322,7,Potential Loyalists
12744,52,11,25317.06,4,5,5,455,14,Champions
12745,487,3,925.41,1,3,3,133,7,At Risk
12746,541,1,254.55,1,1,1,111,3,Lost
12747,2,26,9276.54,5,5,5,555,15,Champions
12748,1,336,56599.39,5,5,5,555,15,Champions
12749,4,9,6897.36,5,5,5,555,15,Champions
12750,129,1,275.88,3,1,1,311,5,Promising
12751,445,1,268.27,1,1,1,111,3,Lost
12752,81,1,4366.78,3,1,5,315,9,Promising
12753,23,6,21429.39,4,4,5,445,13,Champions
12754,236,3,3010.74,2,3,5,235,10,At Risk
12755,281,11,9030.66,2,5,5,255,12,At Risk
12756,87,1,112.08,3,1,1,311,5,Promising
12757,16,13,7857.1,5,5,5,555,15,Champions
12758,117,7,9903.24,3,4,5,345,12,Loyal Customers
12759,52,8,5020.74,4,4,5,445,13,Champions
12760,456,1,347.8,1,1,2,112,4,Lost
12761,458,2,782.95,1,2,3,123,6,Hibernating
12762,8,2,1898.52,5,2,4,524,11,New Customers
12763,138,2,814.16,3,2,3,323,8,Potential Loyalists
12764,317,1,1693.88,2,1,4,214,7,Hibernating
12765,472,6,1404.58,1,4,4,144,9,At Risk
12766,4,9,10068.28,5,5,5,555,15,Champions
12767,376,1,949.82,2,1,3,213,6,Hibernating
12768,451,1,168.69,1,1,1,111,3,Lost
12769,239,1,1143.6,2,1,3,213,6,Hibernating
12770,211,2,3246.45,2,2,5,225,9,Hibernating
12771,486,1,282.3,1,1,1,111,3,Lost
12772,60,1,892.47,3,1,3,313,7,Promising
12773,564,1,124.25,1,1,1,111,3,Lost
12774,536,1,98.7,1,1,1,111,3,Lost
12775,17,7,1686.12,5,4,4,544,13,Champions
12776,668,1,55.5,1,1,1,111,3,Lost
12777,458,1,519.45,1,1,2,112,4,Lost
12778,20,9,1775.68,4,5,4,454,13,Champions
12779,38,14,6722.27,4,5,5,455,14,Champions
12780,599,1,337.4,1,1,2,112,4,Lost
12781,64,2,826.74,3,2,3,323,8,Potential Loyalists
12782,5,11,4618.24,5,5,5,555,15,Champions
12783,2,6,2225.91,5,4,4,544,13,Champions
12784,9,3,1804.75,5,3,4,534,12,Loyal Customers
12785,364,3,1100.4,2,3,3,233,8,At Risk
12786,610,1,728.5,1,1,3,113,5,Hibernating
12787,10,4,862.18,5,3,3,533,11,Loyal Customers
12788,463,4,444.9,1,3,2,132,6,Hibernating
12789,65,3,273.35,3,3,1,331,7,Hibernating
12790,192,2,591.85,2,2,2,222,6,Lost
12791,374,6,1056.11,2,4,3,243,9,At Risk
12792,257,2,827.01,2,2,3,223,7,Hibernating
12793,335,3,1017.33,2,3,3,233,8,At Risk
12794,53,2,860.41,4,2,3,423,9,New Customers
12795,19,1,430.48,5,1,2,512,8,New Customers
12796,628,1,381.0,1,1,2,112,4,Lost
12797,366,2,806.11,2,2,3,223,7,Hibernating
12798,10,4,8510.93,5,3,5,535,13,Loyal Customers
12799,529,1,219.35,1,1,1,111,3,Lost
12800,470,3,584.25,1,3,2,132,6,Hibernating
12801,501,1,1071.82,1,1,3,113,5,Hibernating
12802,187,7,2416.42,3,4,4,344,11,Loyal Customers
12803,393,1,1092.81,2,1,3,213,6,Hibernating
12804,466,2,327.02,1,2,2,122,5,Lost
12805,382,4,1434.95,2,3,4,234,9,At Risk
12806,435,4,2878.96,1,3,4,134,8,At Risk
12807,383,1,330.35,2,1,2,212,5,Lost
12808,37,5,906.1,4,4,3,443,11,Loyal Customers
12809,178,3,1755.94,3,3,4,334,10,Loyal Customers
12810,535,2,534.99,1,2,2,122,5,Lost
12811,261,5,1033.9,2,4,3,243,9,At Risk
12812,45,1,229.64,4,1,1,411,6,New Customers
12813,502,3,1687.8,1,3,4,134,8,At Risk
12814,102,1,125.92,3,1,1,311,5,Promising
12815,148,2,1063.46,3,2,3,323,8,Potential Loyalists
12816,96,2,572.2,3,2,2,322,7,Potential Loyalists
12817,281,3,690.98,2,3,3,233,8,At Risk
12818,262,1,1542.08,2,1,4,214,7,Hibernating
12819,458,1,540.52,1,1,2,112,4,Lost
12820,3,11,2689.52,5,5,4,554,14,Champions
12821,214,2,220.8,2,2,1,221,5,Lost
12822,71,2,948.88,3,2,3,323,8,Potential Loyalists
12823,75,18,6501.5,3,5,5,355,13,Loyal Customers
12824,60,1,397.12,3,1,2,312,6,Promising
12825,521,2,518.63,1,2,2,122,5,Lost
12826,3,12,2955.75,5,5,4,554,14,Champions
12827,6,3,430.15,5,3,2,532,10,Potential Loyalists
12828,3,6,1018.71,5,4,3,543,12,Loyal Customers
12829,337,3,385.3,2,3,2,232,7,Hibernating
12830,38,6,6814.64,4,4,5,445,13,Champions
12831,262,3,451.11,2,3,2,232,7,Hibernating
12832,32,2,383.03,4,2,2,422,8,New Customers
12833,145,1,417.38,3,1,2,312,6,Promising
12834,283,1,312.38,2,1,2,212,5,Lost
12835,428,41,6043.31,1,5,5,155,11,At Risk
12836,59,15,6585.62,4,5,5,455,14,Champions
12837,173,2,688.41,3,2,3,323,8,Potential Loyalists
12838,34,10,3398.48,4,5,5,455,14,Champions
12839,3,26,10071.73,5,5,5,555,15,Champions
12840,144,7,4041.97,3,4,5,345,12,Loyal Customers
12841,5,40,7540.68,5,5,5,555,15,Champions
12842,70,4,1917.99,3,3,4,334,10,Loyal Customers
12843,66,30,6588.41,3,5,5,355,13,Loyal Customers
12844,29,4,648.6,4,3,3,433,10,Loyal Customers
12845,267,4,354.09,2,3,2,232,7,Hibernating
12846,682,1,15.58,1,1,1,111,3,Lost
12847,22,2,1636.9,4,2,4,424,10,New Customers
12848,676,1,208.0,1,1,1,111,3,Lost
12849,31,6,3090.56,4,4,5,445,13,Champions
12850,446,1,330.0,1,1,2,112,4,Lost
12851,97,2,284.13,3,2,1,321,6,Promising
12852,295,1,311.55,2,1,2,212,5,Lost
12853,135,11,3907.5,3,5,5,355,13,Loyal Customers
12854,79,7,2994.02,3,4,5,345,12,Loyal Customers
12855,373,4,650.94,2,3,3,233,8,At Risk
12856,8,6,2179.93,5,4,4,544,13,Champions
12857,211,6,3688.0,2,4,5,245,11,At Risk
12858,383,1,177.92,2,1,1,211,4,Lost
12859,459,1,575.1,1,1,2,112,4,Lost
12860,693,1,55.47,1,1,1,111,3,Lost
12861,620,1,68.25,1,1,1,111,3,Lost
12862,426,2,1008.32,1,2,3,123,6,Hibernating
12863,52,6,2792.55,4,4,4,444,12,Champions
